t_ms,hora,dur_ms,datos_hex,raw_completo
1785343892912,18:51:32.912,465,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B5 5A 9B 5E 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B5 5A 9B 5E 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65 4E
1785343893682,18:51:33.682,406,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B5 5A 9B 5E 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B5 5A 9B 5E 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65 4E
1785343894396,18:51:34.396,331,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B4 5A 9B 5E 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B4 5A 9B 5E 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65 4D
1785343895034,18:51:35.034,344,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B5 5A 9B 5E 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B5 5A 9B 5E 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65 4E
1785343895684,18:51:35.684,353,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B5 5A 9B 5E 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B5 5A 9B 5E 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65 4E
1785343896343,18:51:36.343,382,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B5 5A 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B5 5A 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65 50
1785343897030,18:51:37.030,361,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B5 5A 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B5 5A 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65 50
1785343897702,18:51:37.702,315,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B5 5A 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B5 5A 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65 50
1785343898319,18:51:38.319,488,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B5 5A 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B5 5A 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65 50
1785343899113,18:51:39.113,327,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B4 5A 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B4 5A 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65 4F
1785343899744,18:51:39.744,313,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B5 5A 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B5 5A 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65 50
1785343900366,18:51:40.366,320,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B4 5A 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B4 5A 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65 4F
1785343900993,18:51:40.993,494,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B4 5A 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65,80 F1 11 46 61 01 00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 34 A7 2F 00 00 03 11 00 01 00 00 00 00 00 00 31 00 00 00 00 00 00 00 80 00 B4 5A 9B 60 56 37 00 59 79 67 00 00 32 19 40 00 00 00 00 37 2A 00 00 58 FB 00 F7 65 4F
