t_ms,hora,datos_hex
1785248160884,16:16:02.206,ERROR Init rápido KWP fallido: BUS INIT: ERROR
1785248163554,16:16:04.915,ERROR Init rápido KWP fallido: BUS INIT: ERROR
1785248166235,16:16:07.557,ERROR Init rápido KWP fallido: BUS INIT: ERROR
1785248168881,16:16:10.213,ERROR Init rápido KWP fallido: BUS INIT: ERROR
1785248171600,16:16:12.963,ERROR Init rápido KWP fallido: BUS INIT: ERROR
1785248174305,16:16:15.634,ERROR Init rápido KWP fallido: BUS INIT: ERROR
1785248176985,16:16:18.359,ERROR Init rápido KWP fallido: BUS INIT: ERROR
1785248179712,16:16:21.033,ERROR Init rápido KWP fallido: BUS INIT: ERROR
1785248182364,16:16:23.736,ERROR Init rápido KWP fallido: BUS INIT: ERROR
1785248185053,16:16:26.403,ERROR Init rápido KWP fallido: BUS INIT: ERROR
1785248187755,16:16:29.070,ERROR Init rápido KWP fallido: BUS INIT: ERROR
1785248190389,16:16:31.715,ERROR Init rápido KWP fallido: BUS INIT: ERROR
1785248193038,16:16:34.369,ERROR Init rápido KWP fallido: BUS INIT: ERROR
1785248195741,16:16:37.057,ERROR Init rápido KWP fallido: BUS INIT: ERROR
1785248198484,16:16:39.824,ERROR Init rápido KWP fallido: BUS INIT: ERROR
1785248201162,16:16:42.506,ERROR Init rápido KWP fallido: BUS INIT: ERROR
1785248203839,16:16:45.198,ERROR Init rápido KWP fallido: BUS INIT: ERROR
1785248206521,16:16:47.859,ERROR Init rápido KWP fallido: BUS INIT: ERROR
1785248209185,16:16:50.500,ERROR Init rápido KWP fallido: BUS INIT: ERROR
1785248211896,16:16:53.225,ERROR Init rápido KWP fallido: BUS INIT: ERROR
1785248214558,16:16:55.898,ERROR Init rápido KWP fallido: BUS INIT: ERROR
1785248217246,16:16:58.575,ERROR Init rápido KWP fallido: BUS INIT: ERROR
1785248219959,16:17:01.301,ERROR Init rápido KWP fallido: BUS INIT: ERROR
1785248222619,16:17:04.060,ERROR Init rápido KWP fallido: BUS INIT: ERROR
1785248225390,16:17:06.780,ERROR Init rápido KWP fallido: BUS INIT: ERROR
1785248228115,16:17:09.431,ERROR Init rápido KWP fallido: BUS INIT: ERROR
1785248230759,16:17:12.074,ERROR Init rápido KWP fallido: BUS INIT: ERROR
1785248233402,16:17:15.026,00 00 00 00 00 00 00 00 18 00 42 00 00 A2 EF 00 A7 2F 00 00 1F 81 46 01 00 00 00 01 38 00 32 1C B8 1C 82 4B 4B 00 80 00 BB 56 9D 5E 54 63 07 BA 7B 65 65 0D 32 19 40 00 00 00 00 3A 2D 00 00 55 0C 15 F6 65
